intergenic	intron	exon
NA	NA	NA
56.54516951	39.94708995	3.507740545
57.25901254	39.15556426	3.585423197
56.16304135	40.34881442	3.488144229
57.47723044	39.55538145	2.967388111
55.74493094	40.91487903	3.340190028
56.14585375	40.40384238	3.450303862
56.02899402	40.93446959	3.036536389
57.01410658	39.82170846	3.164184953
55.75698187	40.87212151	3.370896619
56.14894659	40.33317001	3.51788339
56.54942686	39.66885471	3.781718429
56.24142661	40.34881442	3.409758965
56.41226609	40.42323895	3.164494954
56.86716301	39.70415361	3.428683386
55.60235064	41.14593536	3.251714006
55.49568966	40.98746082	3.51684953
56.57198825	40.08814887	3.33986288
56.26408071	40.14105201	3.594867274
55.41189147	41.28709962	3.301008914
56.18142633	40.25274295	3.565830721
56.91749951	39.7707231	3.311777386
56.52429467	39.89028213	3.585423197
55.60779704	40.87569791	3.516505045
56.33388851	40.29587538	3.370236112
55.63283699	40.77194357	3.595219436
56.51748115	40.21153658	3.270982274
56.57752963	39.66108336	3.761387011
55.87457129	41.00930916	3.116119549
55.93535749	40.45053869	3.61410382
56.31857367	40.10579937	3.575626959
56.50171485	40.08819206	3.410093092
55.90713166	40.44866771	3.644200627
56.54388715	40.02742947	3.428683386
57.13586052	39.21050054	3.653638946
56.54260529	40.3036239	3.153770813
56.48638056	40.260631	3.252988438
56.58436214	39.702136	3.713501862
56.40673981	39.99804075	3.595219436
56.44718793	39.97648442	3.57632765
56.22061129	40.53683386	3.242554859
56.42759161	39.91769547	3.654712914
56.53962967	40.01175664	3.448613696
56.79302576	39.62190224	3.585071995
56.47531348	39.94905956	3.575626959
56.60691547	40.0528945	3.340190028
56.60654774	39.79611841	3.597333856
57.00852189	39.65128808	3.340190028
55.70798628	40.64674179	3.645271926
56.30573248	40.18618324	3.508084272
56.91056911	39.75903614	3.33039475
56.27510532	40.34486137	3.38003331
56.58436214	40.1920439	3.223593964
55.97022235	40.6504065	3.379371143
56.27082109	40.60356653	3.125612385
56.20101881	40.44866771	3.35031348
55.59800176	41.14996572	3.25203252
55.55011267	40.86411286	3.585774469
57.07288401	39.4200627	3.507053292
56.64054848	39.85308521	3.506366308
56.044279	40.38009404	3.575626959
56.72577643	39.87459587	3.399627706
55.98981291	40.84631208	3.163875012
56.16545775	40.66849637	3.166045873
56.55199451	40.34107615	3.106929335
55.60889586	41.01107083	3.38003331
56.18384947	40.40572325	3.410427283
57.05329154	39.70415361	3.242554859
56.84757053	39.64537618	3.507053292
56.56179555	40.01764187	3.42056258
55.80803134	40.8619001	3.33006856
57.124657	39.66091729	3.214425715
55.84950029	40.52518127	3.62531844
55.58930146	41.30498677	3.105711766
56.97628846	39.45718205	3.566529492
