intergenic	intron	exon
NA	NA	NA
56.48921175	40.1134844	3.397303842
56.2357703	40.33464638	3.429583318
56.13844931	40.3425103	3.519040393
55.76353256	40.81086941	3.425598034
56.41127575	40.13733285	3.451391399
55.74380464	40.86048696	3.395708403
56.52315367	40.25593753	3.220908795
56.16032383	40.3447902	3.494885973
55.56479006	40.95540941	3.479800535
56.08513406	40.4892679	3.425598034
56.55583665	40.1445609	3.299602458
56.46519022	40.16763611	3.36717367
56.4918874	40.15466339	3.35344921
56.38959162	40.18792917	3.422479219
56.31797651	40.30352304	3.378500452
56.47445625	40.14018354	3.385360214
56.35502873	40.34187416	3.303097105
56.35640701	40.16627508	3.477317911
56.32001156	40.2941389	3.385849534
56.59968194	39.98120573	3.419112332
56.34734217	40.16911791	3.483539913
56.24322567	40.41115688	3.345617458
56.3213821	40.32094839	3.35766951
56.09800166	40.54854913	3.35344921
56.14022407	40.42645464	3.433321287
56.86253252	39.73691818	3.400549292
56.25451655	40.29484029	3.450643157
56.32657487	40.2833496	3.390075536
56.25451655	40.21896228	3.526521174
56.47696477	40.23848238	3.284552846
56.77111569	39.93277675	3.296107557
56.39524377	40.12432686	3.480429361
56.03021432	40.58693845	3.38284723
55.98163944	40.61370536	3.404655197
56.66281255	39.86486486	3.47232259
56.23802466	40.28415459	3.477820758
56.09262671	40.4356779	3.471695387
56.34825979	40.47489971	3.176840507
56.18854829	40.5075188	3.303932909
56.57076767	40.01011999	3.419112332
56.43063584	40.20231214	3.367052023
56.31685458	40.23200347	3.451141949
56.09712035	40.35480724	3.548072407
56.23961269	40.37141412	3.388973192
56.16799798	40.34047783	3.491524199
55.91701005	40.74315044	3.339839514
55.8463151	40.60071565	3.552969241
56.30103331	40.32444541	3.37452128
56.28906956	40.33604336	3.374887082
56.35620797	40.41145419	3.232337841
56.46956773	40.09324852	3.43718375
56.53258159	39.92193429	3.545484116
56.36764334	40.17847466	3.453882004
55.97918398	40.5912327	3.429583318
56.44333622	40.09106678	3.465596993
56.45103	40.16985905	3.37911095
55.96154541	40.66644982	3.372004771
56.3060133	40.34041631	3.353570396
55.82050726	40.55567599	3.62381675
56.09844241	40.42860757	3.47295002
56.04812486	40.4075439	3.544331238
56.10707706	40.54405549	3.348867454
56.33426103	40.25373188	3.412007084
56.57861453	39.96314097	3.458244498
56.25881077	40.23133924	3.509849991
56.73810126	39.90097936	3.360919374
56.30036498	40.3678676	3.331767427
56.18878971	40.38885476	3.422355535
56.29924106	40.24936755	3.451391399
55.85461903	40.73124029	3.414140684
56.62524384	39.93208583	3.442670327
56.44945607	40.09179949	3.458744443
56.0643296	40.46982291	3.465847488
56.40766173	40.28189375	3.310444525
56.16596791	40.46913402	3.364898077
56.04062014	40.39969643	3.559683423
56.35930048	40.03830033	3.602399191
56.63739203	39.90386353	3.458744443
56.14047765	40.37648589	3.483036456
56.31573241	40.38454588	3.29972171
56.60656863	40.04407992	3.349351447
56.26738934	40.41553749	3.317073171
55.86067351	40.80792022	3.331406273
56.39320564	40.13733285	3.469461511
56.71280402	39.86122655	3.425969426
56.8103791	39.76726537	3.422355535
