intergenic	intron	exon
NA	NA	NA
55.77330508	40.5190678	3.707627119
54.29025424	42.42584746	3.283898305
56.67372881	39.77754237	3.548728814
55.53789083	41.01748808	3.444621092
57.78601695	38.71822034	3.495762712
56.1970339	40.88983051	2.913135593
54.02542373	42.58474576	3.389830508
57.25635593	39.14194915	3.601694915
55.45550847	40.625	3.919491525
56.67372881	39.83050847	3.495762712
56.88559322	40.30720339	2.80720339
58.05084746	39.19491525	2.754237288
59.4809322	37.65889831	2.860169492
54.81991525	40.83686441	4.343220339
58.02861685	39.1626921	2.808691044
55.77330508	40.7309322	3.495762712
55.24364407	41.20762712	3.548728814
55.93220339	40.41313559	3.654661017
58.79237288	38.24152542	2.966101695
55.72033898	40.5190678	3.76059322
55.08474576	40.7309322	4.184322034
56.46186441	39.83050847	3.707627119
56.46186441	40.78389831	2.754237288
56.03813559	40.46610169	3.495762712
55.87923729	41.47245763	2.648305085
56.67372881	40.36016949	2.966101695
58.15677966	38.87711864	2.966101695
56.03813559	40.46610169	3.495762712
53.86652542	43.00847458	3.125
56.1440678	40.99576271	2.860169492
55.77330508	40.94279661	3.283898305
54.97881356	41.04872881	3.972457627
57.55166932	38.89772125	3.550609433
55.45550847	40.78389831	3.76059322
55.77330508	40.99576271	3.230932203
55.19067797	42.05508475	2.754237288
56.88559322	40.09533898	3.019067797
56.22681505	40.91149974	2.861685215
56.1970339	40.5720339	3.230932203
55.87923729	40.46610169	3.654661017
57.41525424	40.09533898	2.48940678
55.98516949	40.25423729	3.76059322
55.34957627	41.36652542	3.283898305
58.39957605	38.89772125	2.702702703
55.45550847	40.99576271	3.548728814
56.03813559	40.09533898	3.866525424
54.55508475	42.42584746	3.019067797
55.29661017	40.625	4.078389831
55.87923729	40.25423729	3.866525424
55.24364407	40.83686441	3.919491525
56.83262712	39.88347458	3.283898305
57.52118644	38.98305085	3.495762712
57.60466349	39.00370959	3.391626921
54.37201908	42.02437732	3.603603604
58.05084746	38.98305085	2.966101695
57.20338983	39.08898305	3.707627119
55.72033898	40.46610169	3.813559322
56.51483051	40.09533898	3.389830508
56.72669492	39.19491525	4.078389831
