Region	Category 	Frequency	RTE_Type
Enhancer	Reference 	3.2998	L1
Non-Enhancer	Reference 	96.7002	L1
Enhancer	Non-reference 	8.81402	L1
Non-Enhancer	Non-reference 	91.1860	L1
Enhancer	Reference 	15.3781	Alu
Non-Enhancer	Reference 	84.6219	Alu
Enhancer	Non-reference 	12.1160	Alu
Non-Enhancer	Non-reference 	87.8840	Alu
Enhancer	Reference 	6.4677	SVA
Non-Enhancer	Reference 	93.5323	SVA
Enhancer	Non-reference 	15.8898	SVA
Non-Enhancer	Non-reference 	84.1102	SVA
